Appareil suivi;Consommation annuelle AN1 + AN2;Type
Mobilite_electrique;40.2;VeLO eLECTRIQUE
Mobilite_electrique;37.3;VeLO eLECTRIQUE
Mobilite_electrique;20.8;VeLO eLECTRIQUE
Mobilite_electrique;14.6;VeLO eLECTRIQUE
Mobilite_electrique;5.2;VeLO eLECTRIQUE
Securite;80.8;VOLETS ROULANTS
Securite;46.4;VOLETS ROULANTS
Securite;35.3;VOLETS ROULANTS
Securite;5.5;VOLETS ROULANTS
Plaques cuisson;1132.8;VITROCeRAMIQUE
Plaques cuisson;1024.2;VITROCeRAMIQUE
Plaques cuisson;363.3;VITROCeRAMIQUE
Plaques cuisson;321.6;VITROCeRAMIQUE
Plaques cuisson;317.8;VITROCeRAMIQUE
Plaques cuisson;307.9;VITROCeRAMIQUE
Plaques cuisson;246.0;VITROCeRAMIQUE
Plaques cuisson;228.5;VITROCeRAMIQUE
Plaques cuisson;139.7;VITROCeRAMIQUE
Plaques cuisson;100.4;VITROCeRAMIQUE
Plaques cuisson;7.1;VITROCeRAMIQUE
Securite;82.3;VISIOPHONE
Lave linge;360.8;TOP
Lave linge;353.0;TOP
Lave linge;264.9;TOP
Lave linge;221.4;TOP
Lave linge;189.7;TOP
Lave linge;182.2;TOP
Lave linge;160.0;TOP
Lave linge;155.9;TOP
Lave linge;154.0;TOP
Lave linge;118.2;TOP
Lave linge;115.5;TOP
Lave linge;114.2;TOP
Lave linge;100.6;TOP
Lave linge;84.4;TOP
Lave linge;78.4;TOP
Lave linge;67.0;TOP
Lave linge;56.0;TOP
Lave linge;44.2;TOP
Tablettes_smartph;16.0;TABLETTE
Tablettes_smartph;5.3;TABLETTE
Lave linge;416.7;SeCHANTE
Lave linge;323.9;SeCHANTE
Lave linge;76.0;SeCHANTE
Lave linge;17.1;SeCHANTE
Periph_Internet_reseaux;87.2;SWITCH ETHERNET
Piscines;5033.1;SPA
Periph_Internet_reseaux;276.5;SERVEUR
Periph_Internet_reseaux;152.5;SERVEUR
Televiseurs;829.0;SECONDAIRE
Televiseurs;311.1;SECONDAIRE
Televiseurs;311.0;SECONDAIRE
Televiseurs;286.7;SECONDAIRE
Televiseurs;208.1;SECONDAIRE
Televiseurs;115.9;SECONDAIRE
Televiseurs;102.2;SECONDAIRE
Televiseurs;92.3;SECONDAIRE
Televiseurs;83.2;SECONDAIRE
Televiseurs;79.5;SECONDAIRE
Televiseurs;77.5;SECONDAIRE
Televiseurs;71.2;SECONDAIRE
Televiseurs;59.1;SECONDAIRE
Televiseurs;49.1;SECONDAIRE
Televiseurs;47.8;SECONDAIRE
Televiseurs;40.0;SECONDAIRE
Televiseurs;33.1;SECONDAIRE
Televiseurs;24.4;SECONDAIRE
Televiseurs;19.4;SECONDAIRE
Televiseurs;10.3;SECONDAIRE
Televiseurs;8.2;SECONDAIRE
Divers cuisine;38.9;RICE COOKER
Divers cuisine;6.5;RICE COOKER
Clim_mob_rafraich_Deshum;29.3;RAFRAICHISSEUR SUR PRISE
Clim_mob_rafraich_Deshum;15.5;RAFRAICHISSEUR SUR PRISE
Divers cuisine;3.3;RACLETTE
Televiseurs;1465.8;PRINCIPAL
Televiseurs;941.7;PRINCIPAL
Televiseurs;922.7;PRINCIPAL
Televiseurs;918.0;PRINCIPAL
Televiseurs;853.9;PRINCIPAL
Televiseurs;821.8;PRINCIPAL
Televiseurs;789.2;PRINCIPAL
Televiseurs;786.6;PRINCIPAL
Televiseurs;696.0;PRINCIPAL
Televiseurs;680.7;PRINCIPAL
Televiseurs;642.7;PRINCIPAL
Televiseurs;631.9;PRINCIPAL
Televiseurs;595.2;PRINCIPAL
Televiseurs;589.0;PRINCIPAL
Televiseurs;525.9;PRINCIPAL
Televiseurs;525.6;PRINCIPAL
Televiseurs;453.7;PRINCIPAL
Televiseurs;451.6;PRINCIPAL
Televiseurs;443.6;PRINCIPAL
Televiseurs;419.7;PRINCIPAL
Televiseurs;419.7;PRINCIPAL
Televiseurs;403.8;PRINCIPAL
Televiseurs;385.5;PRINCIPAL
Televiseurs;366.5;PRINCIPAL
Televiseurs;360.0;PRINCIPAL
Televiseurs;347.6;PRINCIPAL
Televiseurs;344.7;PRINCIPAL
Televiseurs;332.6;PRINCIPAL
Televiseurs;320.7;PRINCIPAL
Televiseurs;315.1;PRINCIPAL
Televiseurs;312.7;PRINCIPAL
Televiseurs;311.4;PRINCIPAL
Televiseurs;306.3;PRINCIPAL
Televiseurs;299.4;PRINCIPAL
Televiseurs;285.5;PRINCIPAL
Televiseurs;267.6;PRINCIPAL
Televiseurs;266.5;PRINCIPAL
Televiseurs;265.2;PRINCIPAL
Televiseurs;263.0;PRINCIPAL
Televiseurs;258.3;PRINCIPAL
Televiseurs;254.5;PRINCIPAL
Televiseurs;254.0;PRINCIPAL
Televiseurs;241.9;PRINCIPAL
Televiseurs;234.0;PRINCIPAL
Televiseurs;233.5;PRINCIPAL
Televiseurs;230.9;PRINCIPAL
Televiseurs;229.0;PRINCIPAL
Televiseurs;228.6;PRINCIPAL
Televiseurs;222.8;PRINCIPAL
Televiseurs;220.8;PRINCIPAL
Televiseurs;220.2;PRINCIPAL
Televiseurs;216.0;PRINCIPAL
Televiseurs;205.0;PRINCIPAL
Televiseurs;201.1;PRINCIPAL
Televiseurs;200.2;PRINCIPAL
Televiseurs;188.3;PRINCIPAL
Televiseurs;177.1;PRINCIPAL
Televiseurs;170.9;PRINCIPAL
Televiseurs;164.9;PRINCIPAL
Televiseurs;163.4;PRINCIPAL
Televiseurs;154.8;PRINCIPAL
Televiseurs;151.9;PRINCIPAL
Televiseurs;140.0;PRINCIPAL
Televiseurs;119.6;PRINCIPAL
Televiseurs;112.0;PRINCIPAL
Televiseurs;95.3;PRINCIPAL
Televiseurs;87.1;PRINCIPAL
Televiseurs;76.1;PRINCIPAL
Televiseurs;74.0;PRINCIPAL
Televiseurs;56.8;PRINCIPAL
Televiseurs;55.2;PRINCIPAL
Televiseurs;46.3;PRINCIPAL
Televiseurs;8.6;PRINCIPAL
Televiseurs;7.5;PRINCIPAL
Securite;231.4;PORTE OU PORTAIL AUTOMATIQUE
Securite;198.2;PORTE OU PORTAIL AUTOMATIQUE
Securite;104.9;PORTE OU PORTAIL AUTOMATIQUE
Securite;55.8;PORTE OU PORTAIL AUTOMATIQUE
Seche linge;641.4;POMPE e CHALEUR
Seche linge;459.2;POMPE e CHALEUR
Seche linge;248.6;POMPE e CHALEUR
Pompes;208.3;POMPE JARDIN
Pompes;17.7;POMPE FOSSE SCEPTIQUE
Pompes;9.1;POMPE CAVE
Poeles;75.2;POELE PeTROLE
Poeles;285.8;POELE A GRANULES
Poeles;189.1;POELE A GRANULES
Poeles;154.2;POELE A GRANULES
Poeles;64.8;POELE A GRANULES
Nettoyage_sols;4.4;NETTOYEUR VAPEUR
Plaques cuisson;63.8;MIXTE
Plaques cuisson;1.3;MIXTE
Plaques cuisson;0.0;MIXTE
Loisirs;36.6;Lit Motorise
Periph_multimedia;78.6;LECTEUR DVD OU BLU RAY
Periph_multimedia;50.0;LECTEUR DVD OU BLU RAY
Periph_multimedia;2.1;LECTEUR DVD OU BLU RAY
Periph_multimedia;1.3;LECTEUR DVD OU BLU RAY
Periph_multimedia;1.2;LECTEUR DVD OU BLU RAY
Periph_multimedia;1.0;LECTEUR DVD OU BLU RAY
Imprimantes;100.0;LASER
Imprimantes;64.2;LASER
Imprimantes;26.4;LASER
Imprimantes;2.8;LASER
Imprimantes;2.2;LASER
Imprimantes;0.9;LASER
Imprimantes;0.5;LASER
Imprimantes;0.3;LASER
Eau chaude sanitaire;2590.4;JOULE / CETI
Eau chaude sanitaire;6652.2;JOULE
Eau chaude sanitaire;6481.8;JOULE
Eau chaude sanitaire;5765.3;JOULE
Eau chaude sanitaire;4977.7;JOULE
Eau chaude sanitaire;4750.5;JOULE
Eau chaude sanitaire;4681.5;JOULE
Eau chaude sanitaire;4608.5;JOULE
Eau chaude sanitaire;4387.0;JOULE
Eau chaude sanitaire;4313.4;JOULE
Eau chaude sanitaire;4175.7;JOULE
Eau chaude sanitaire;4071.3;JOULE
Eau chaude sanitaire;3949.3;JOULE
Eau chaude sanitaire;3929.2;JOULE
Eau chaude sanitaire;3782.4;JOULE
Eau chaude sanitaire;3590.7;JOULE
Eau chaude sanitaire;3346.2;JOULE
Eau chaude sanitaire;3178.0;JOULE
Eau chaude sanitaire;2915.4;JOULE
Eau chaude sanitaire;2875.4;JOULE
Eau chaude sanitaire;2869.2;JOULE
Eau chaude sanitaire;2865.7;JOULE
Eau chaude sanitaire;2855.3;JOULE
Eau chaude sanitaire;2765.7;JOULE
Eau chaude sanitaire;2733.5;JOULE
Eau chaude sanitaire;2671.0;JOULE
Eau chaude sanitaire;2510.0;JOULE
Eau chaude sanitaire;2370.5;JOULE
Eau chaude sanitaire;2276.8;JOULE
Eau chaude sanitaire;2167.5;JOULE
Eau chaude sanitaire;1833.7;JOULE
Eau chaude sanitaire;1804.7;JOULE
Eau chaude sanitaire;1785.0;JOULE
Eau chaude sanitaire;1778.0;JOULE
Eau chaude sanitaire;1549.5;JOULE
Eau chaude sanitaire;1536.4;JOULE
Eau chaude sanitaire;1499.8;JOULE
Eau chaude sanitaire;1493.0;JOULE
Eau chaude sanitaire;1345.6;JOULE
Eau chaude sanitaire;1314.8;JOULE
Eau chaude sanitaire;1198.2;JOULE
Eau chaude sanitaire;1178.1;JOULE
Eau chaude sanitaire;1075.8;JOULE
Eau chaude sanitaire;1062.3;JOULE
Eau chaude sanitaire;296.5;JOULE
Imprimantes;55.2;JET D'ENCRE
Imprimantes;34.8;JET D'ENCRE
Imprimantes;34.3;JET D'ENCRE
Imprimantes;24.5;JET D'ENCRE
Imprimantes;23.3;JET D'ENCRE
Imprimantes;22.6;JET D'ENCRE
Imprimantes;21.2;JET D'ENCRE
Imprimantes;19.2;JET D'ENCRE
Imprimantes;18.5;JET D'ENCRE
Imprimantes;17.6;JET D'ENCRE
Imprimantes;16.9;JET D'ENCRE
Imprimantes;10.5;JET D'ENCRE
Imprimantes;9.3;JET D'ENCRE
Imprimantes;5.8;JET D'ENCRE
Imprimantes;5.6;JET D'ENCRE
Imprimantes;5.3;JET D'ENCRE
Imprimantes;3.5;JET D'ENCRE
Imprimantes;3.5;JET D'ENCRE
Imprimantes;3.2;JET D'ENCRE
Imprimantes;2.9;JET D'ENCRE
Imprimantes;2.7;JET D'ENCRE
Imprimantes;2.4;JET D'ENCRE
Imprimantes;1.2;JET D'ENCRE
Imprimantes;1.0;JET D'ENCRE
Imprimantes;1.0;JET D'ENCRE
Imprimantes;0.7;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.5;JET D'ENCRE
Imprimantes;0.2;JET D'ENCRE
Plaques cuisson;829.5;INDUCTION
Plaques cuisson;652.7;INDUCTION
Plaques cuisson;640.3;INDUCTION
Plaques cuisson;518.2;INDUCTION
Plaques cuisson;504.8;INDUCTION
Plaques cuisson;463.0;INDUCTION
Plaques cuisson;401.0;INDUCTION
Plaques cuisson;340.8;INDUCTION
Plaques cuisson;316.0;INDUCTION
Plaques cuisson;282.1;INDUCTION
Plaques cuisson;279.2;INDUCTION
Plaques cuisson;268.7;INDUCTION
Plaques cuisson;224.2;INDUCTION
Plaques cuisson;195.1;INDUCTION
Plaques cuisson;173.2;INDUCTION
Plaques cuisson;151.7;INDUCTION
Plaques cuisson;151.0;INDUCTION
Plaques cuisson;150.6;INDUCTION
Plaques cuisson;149.0;INDUCTION
Plaques cuisson;145.5;INDUCTION
Plaques cuisson;101.4;INDUCTION
Plaques cuisson;34.8;INDUCTION
Audio_TV;174.9;Home Cinema
Audio_TV;24.0;Home Cinema
Audio_TV;19.9;Home Cinema
Audio_TV;6.9;Home Cinema
Audio_TV;2.2;Home Cinema
Audio_TV;0.5;Home Cinema
Lave linge;882.7;HUBLOT
Lave linge;661.3;HUBLOT
Lave linge;648.2;HUBLOT
Lave linge;508.1;HUBLOT
Lave linge;503.7;HUBLOT
Lave linge;492.4;HUBLOT
Lave linge;421.6;HUBLOT
Lave linge;386.5;HUBLOT
Lave linge;385.6;HUBLOT
Lave linge;286.7;HUBLOT
Lave linge;278.7;HUBLOT
Lave linge;277.8;HUBLOT
Lave linge;277.5;HUBLOT
Lave linge;271.4;HUBLOT
Lave linge;269.3;HUBLOT
Lave linge;255.5;HUBLOT
Lave linge;251.2;HUBLOT
Lave linge;250.4;HUBLOT
Lave linge;247.3;HUBLOT
Lave linge;239.7;HUBLOT
Lave linge;224.3;HUBLOT
Lave linge;223.2;HUBLOT
Lave linge;220.4;HUBLOT
Lave linge;212.1;HUBLOT
Lave linge;208.6;HUBLOT
Lave linge;202.1;HUBLOT
Lave linge;199.8;HUBLOT
Lave linge;199.5;HUBLOT
Lave linge;192.0;HUBLOT
Lave linge;180.5;HUBLOT
Lave linge;166.2;HUBLOT
Lave linge;164.1;HUBLOT
Lave linge;155.8;HUBLOT
Lave linge;142.3;HUBLOT
Lave linge;141.3;HUBLOT
Lave linge;126.1;HUBLOT
Lave linge;121.2;HUBLOT
Lave linge;120.3;HUBLOT
Lave linge;119.0;HUBLOT
Lave linge;117.0;HUBLOT
Lave linge;116.6;HUBLOT
Lave linge;115.7;HUBLOT
Lave linge;115.5;HUBLOT
Lave linge;112.1;HUBLOT
Lave linge;106.1;HUBLOT
Lave linge;102.2;HUBLOT
Lave linge;98.0;HUBLOT
Lave linge;94.8;HUBLOT
Lave linge;84.9;HUBLOT
Lave linge;80.0;HUBLOT
Lave linge;77.9;HUBLOT
Lave linge;76.4;HUBLOT
Lave linge;49.3;HUBLOT
Lave linge;45.6;HUBLOT
Lave linge;35.2;HUBLOT
Lave linge;34.4;HUBLOT
